County,State,FIPS,Lyme Disease Incidence Reported
Lebanon,Pennsylvania,42075,83
Lawrence,Pennsylvania,42073,100
Lancaster,Pennsylvania,42071,245
Lackawanna,Pennsylvania,42069,108
Juniata,Pennsylvania,42067,24
Jefferson,Pennsylvania,42065,144
Indiana,Pennsylvania,42063,89
Huntingdon,Pennsylvania,42061,85
Greene,Pennsylvania,42059,36
Fulton,Pennsylvania,42057,13
Franklin,Pennsylvania,42055,65
Forest,Pennsylvania,42053,26
Fayette,Pennsylvania,42051,150
Erie,Pennsylvania,42049,142
Elk,Pennsylvania,42047,75
Delaware,Pennsylvania,42045,171
Dauphin,Pennsylvania,42043,186
Cumberland,Pennsylvania,42041,169
Crawford,Pennsylvania,42039,139
Columbia,Pennsylvania,42037,53
Clinton,Pennsylvania,42035,43
Clearfield,Pennsylvania,42033,204
Clarion,Pennsylvania,42031,141
Chester,Pennsylvania,42029,470
Centre,Pennsylvania,42027,255
Carbon,Pennsylvania,42025,50
Cameron,Pennsylvania,42023,14
Cambria,Pennsylvania,42021,175
Butler,Pennsylvania,42019,388
Bucks,Pennsylvania,42017,363
Bradford,Pennsylvania,42015,138
Blair,Pennsylvania,42013,44
Berks,Pennsylvania,42011,235
Bedford,Pennsylvania,42009,114
Beaver,Pennsylvania,42007,150
Armstrong,Pennsylvania,42005,88
Allegheny,Pennsylvania,42003,294
Adams,Pennsylvania,42001,98
Yamhill,Oregon,41071,1
Wheeler,Oregon,41069,0
Washington,Oregon,41067,5
Wasco,Oregon,41065,0
Wallowa,Oregon,41063,2
Union,Oregon,41061,0
Umatilla,Oregon,41059,0
Tillamook,Oregon,41057,0
Sherman,Oregon,41055,0
Polk,Oregon,41053,0
Multnomah,Oregon,41051,11
Morrow,Oregon,41049,0
Marion,Oregon,41047,2
Malheur,Oregon,41045,1
Linn,Oregon,41043,2
Lincoln,Oregon,41041,0
Lane,Oregon,41039,4
Lake,Oregon,41037,0
Klamath,Oregon,41035,0
Josephine,Oregon,41033,6
Jefferson,Oregon,41031,0
Jackson,Oregon,41029,11
Hood River,Oregon,41027,3
Harney,Oregon,41025,0
Grant,Oregon,41023,0
Gilliam,Oregon,41021,0
Douglas,Oregon,41019,6
Deschutes,Oregon,41017,2
Curry,Oregon,41015,2
Crook,Oregon,41013,0
Coos,Oregon,41011,0
Columbia,Oregon,41009,0
Clatsop,Oregon,41007,0
Clackamas,Oregon,41005,2
Benton,Oregon,41003,5
Baker,Oregon,41001,0
Woodward,Oklahoma,40153,0
Woods,Oklahoma,40151,0
Washita,Oklahoma,40149,0
Washington,Oklahoma,40147,0
Wagoner,Oklahoma,40145,0
Tulsa,Oklahoma,40143,0
Tillman,Oklahoma,40141,0
Texas,Oklahoma,40139,0
Stephens,Oklahoma,40137,0
Sequoyah,Oklahoma,40135,0
Seminole,Oklahoma,40133,0
Rogers,Oklahoma,40131,0
Roger Mills,Oklahoma,40129,0
Pushmataha,Oklahoma,40127,0
Pottawatomie,Oklahoma,40125,0
Pontotoc,Oklahoma,40123,0
Pittsburg,Oklahoma,40121,0
Payne,Oklahoma,40119,0
Pawnee,Oklahoma,40117,0
Ottawa,Oklahoma,40115,0
Osage,Oklahoma,40113,0
Okmulgee,Oklahoma,40111,0
Oklahoma,Oklahoma,40109,0
Oklahoma,Oklahoma,40109,0
Okfuskee,Oklahoma,40107,0
Nowata,Oklahoma,40105,0
Noble,Oklahoma,40103,0
Muskogee,Oklahoma,40101,0
Murray,Oklahoma,40099,0
Mayes,Oklahoma,40097,0
Marshall,Oklahoma,40095,0
Major,Oklahoma,40093,0
McIntosh,Oklahoma,40091,0
McCurtain,Oklahoma,40089,0
McClain,Oklahoma,40087,0
Love,Oklahoma,40085,0
Logan,Oklahoma,40083,0
Lincoln,Oklahoma,40081,0
Le Flore,Oklahoma,40079,0
Latimer,Oklahoma,40077,0
Kiowa,Oklahoma,40075,0
Kingfisher,Oklahoma,40073,0
Kay,Oklahoma,40071,0
Johnston,Oklahoma,40069,0
Jefferson,Oklahoma,40067,0
Jackson,Oklahoma,40065,0
Hughes,Oklahoma,40063,0
Haskell,Oklahoma,40061,0
Harper,Oklahoma,40059,0
Harmon,Oklahoma,40057,0
Greer,Oklahoma,40055,0
Grant,Oklahoma,40053,0
Grady,Oklahoma,40051,0
Garvin,Oklahoma,40049,0
Garfield,Oklahoma,40047,0
Ellis,Oklahoma,40045,0
Dewey,Oklahoma,40043,0
Delaware,Oklahoma,40041,0
Custer,Oklahoma,40039,0
Creek,Oklahoma,40037,0
Craig,Oklahoma,40035,0
Cotton,Oklahoma,40033,0
Comanche,Oklahoma,40031,0
Coal,Oklahoma,40029,0
Cleveland,Oklahoma,40027,0
Cimarron,Oklahoma,40025,0
Choctaw,Oklahoma,40023,0
Cherokee,Oklahoma,40021,0
Carter,Oklahoma,40019,0
Canadian,Oklahoma,40017,0
Caddo,Oklahoma,40015,0
Bryan,Oklahoma,40013,0
Blaine,Oklahoma,40011,0
Beckham,Oklahoma,40009,0
Beaver,Oklahoma,40007,0
Atoka,Oklahoma,40005,0
Alfalfa,Oklahoma,40003,0
Adair,Oklahoma,40001,0
Wyandot,Ohio,39175,0
Wood,Ohio,39173,2
Williams,Ohio,39171,0
Wayne,Ohio,39169,3
Washington,Ohio,39167,2
Warren,Ohio,39165,2
Vinton,Ohio,39163,1
Van Wert,Ohio,39161,1
Union,Ohio,39159,1
Tuscarawas,Ohio,39157,27
Trumbull,Ohio,39155,9
Summit,Ohio,39153,8
Stark,Ohio,39151,18
Shelby,Ohio,39149,0
Seneca,Ohio,39147,3
Scioto,Ohio,39145,9
Sandusky,Ohio,39143,1
Ross,Ohio,39141,4
Richland,Ohio,39139,1
Putnam,Ohio,39137,0
Preble,Ohio,39135,0
Portage,Ohio,39133,11
Pike,Ohio,39131,3
Pickaway,Ohio,39129,1
Perry,Ohio,39127,1
Paulding,Ohio,39125,0
Ottawa,Ohio,39123,0
Noble,Ohio,39121,3
Muskingum,Ohio,39119,10
Morrow,Ohio,39117,0
Morgan,Ohio,39115,0
Montgomery,Ohio,39113,7
Monroe,Ohio,39111,0
Miami,Ohio,39109,1
Mercer,Ohio,39107,0
Meigs,Ohio,39105,0
Medina,Ohio,39103,5
Marion,Ohio,39101,0
Mahoning,Ohio,39099,5
Madison,Ohio,39097,1
Lucas,Ohio,39095,2
Lorain,Ohio,39093,2
Logan,Ohio,39091,0
Licking,Ohio,39089,25
Lawrence,Ohio,39087,1
Lake,Ohio,39085,4
Knox,Ohio,39083,16
Jefferson,Ohio,39081,32
Jackson,Ohio,39079,1
Huron,Ohio,39077,3
Holmes,Ohio,39075,24
Hocking,Ohio,39073,2
Highland,Ohio,39071,1
Henry,Ohio,39069,0
Harrison,Ohio,39067,21
Hardin,Ohio,39065,1
Hancock,Ohio,39063,2
Hamilton,Ohio,39061,14
Guernsey,Ohio,39059,24
Greene,Ohio,39057,1
Geauga,Ohio,39055,2
Gallia,Ohio,39053,10
Fulton,Ohio,39051,0
Franklin,Ohio,39049,16
Fayette,Ohio,39047,1
Fairfield,Ohio,39045,6
Erie,Ohio,39043,3
Delaware,Ohio,39041,5
Defiance,Ohio,39039,1
Darke,Ohio,39037,0
Cuyahoga,Ohio,39035,15
Crawford,Ohio,39033,0
Coshocton,Ohio,39031,18
Columbiana,Ohio,39029,12
Clinton,Ohio,39027,0
Clermont,Ohio,39025,5
Clark,Ohio,39023,0
Champaign,Ohio,39021,0
Carroll,Ohio,39019,15
Butler,Ohio,39017,3
Brown,Ohio,39015,1
Belmont,Ohio,39013,28
Auglaize,Ohio,39011,0
Athens,Ohio,39009,2
Ashtabula,Ohio,39007,1
Ashland,Ohio,39005,3
Allen,Ohio,39003,1
Adams,Ohio,39001,3
Williams,North Dakota,38105,2
Wells,North Dakota,38103,0
Ward,North Dakota,38101,2
Walsh,North Dakota,38099,1
Traill,North Dakota,38097,0
Towner,North Dakota,38095,0
Stutsman,North Dakota,38093,0
Steele,North Dakota,38091,0
Stark,North Dakota,38089,0
Slope,North Dakota,38087,0
Sioux,North Dakota,38085,0
Sheridan,North Dakota,38083,0
Sargent,North Dakota,38081,0
Rolette,North Dakota,38079,0
Richland,North Dakota,38077,2
Renville,North Dakota,38075,0
Ransom,North Dakota,38073,0
Ramsey,North Dakota,38071,1
Pierce,North Dakota,38069,0
Pembina,North Dakota,38067,1
Oliver,North Dakota,38065,0
Nelson,North Dakota,38063,0
Mountrail,North Dakota,38061,0
Morton,North Dakota,38059,1
Mercer,North Dakota,38057,0
McLean,North Dakota,38055,0
McKenzie,North Dakota,38053,1
McIntosh,North Dakota,38051,0
McHenry,North Dakota,38049,1
Logan,North Dakota,38047,0
LaMoure,North Dakota,38045,0
Kidder,North Dakota,38043,0
Hettinger,North Dakota,38041,0
Griggs,North Dakota,38039,0
Grant,North Dakota,38037,0
Grand Forks,North Dakota,38035,4
Golden Valley,North Dakota,38033,0
Foster,North Dakota,38031,0
Emmons,North Dakota,38029,0
Eddy,North Dakota,38027,0
Dunn,North Dakota,38025,0
Divide,North Dakota,38023,0
Dickey,North Dakota,38021,0
Cavalier,North Dakota,38019,0
Cass,North Dakota,38017,16
Burleigh,North Dakota,38015,3
Burke,North Dakota,38013,0
Bowman,North Dakota,38011,0
Bottineau,North Dakota,38009,1
Billings,North Dakota,38007,0
Benson,North Dakota,38005,1
Barnes,North Dakota,38003,1
Adams,North Dakota,38001,0
Yancey,North Carolina,37199,10
Yadkin,North Carolina,37197,0
Wilson,North Carolina,37195,0
Wilkes,North Carolina,37193,3
Wayne,North Carolina,37191,0
Watauga,North Carolina,37189,23
Washington,North Carolina,37187,0
Warren,North Carolina,37185,0
Wake,North Carolina,37183,36
Vance,North Carolina,37181,1
Union,North Carolina,37179,3
Tyrrell,North Carolina,37177,0
Transylvania,North Carolina,37175,1
Swain,North Carolina,37173,0
Surry,North Carolina,37171,12
Stokes,North Carolina,37169,9
Stanly,North Carolina,37167,1
Scotland,North Carolina,37165,0
Sampson,North Carolina,37163,1
Rutherford,North Carolina,37161,0
Rowan,North Carolina,37159,1
Rockingham,North Carolina,37157,5
Robeson,North Carolina,37155,0
Richmond,North Carolina,37153,1
Randolph,North Carolina,37151,4
Polk,North Carolina,37149,1
Pitt,North Carolina,37147,3
Person,North Carolina,37145,2
Perquimans,North Carolina,37143,0
Pender,North Carolina,37141,0
Pasquotank,North Carolina,37139,1
Pamlico,North Carolina,37137,0
Orange,North Carolina,37135,0
Onslow,North Carolina,37133,5
Northampton,North Carolina,37131,0
New Hanover,North Carolina,37129,0
Nash,North Carolina,37127,6
Moore,North Carolina,37125,2
Montgomery,North Carolina,37123,1
Mitchell,North Carolina,37121,1
Mecklenburg,North Carolina,37119,7
Martin,North Carolina,37117,0
Madison,North Carolina,37115,3
Macon,North Carolina,37113,0
McDowell,North Carolina,37111,0
Lincoln,North Carolina,37109,2
Lenoir,North Carolina,37107,2
Lee,North Carolina,37105,4
Jones,North Carolina,37103,2
Johnston,North Carolina,37101,2
Jackson,North Carolina,37099,1
Iredell,North Carolina,37097,2
Hyde,North Carolina,37095,0
Hoke,North Carolina,37093,0
Hertford,North Carolina,37091,0
Henderson,North Carolina,37089,2
Haywood,North Carolina,37087,0
Harnett,North Carolina,37085,4
Halifax,North Carolina,37083,0
Guilford,North Carolina,37081,1
Greene,North Carolina,37079,1
Granville,North Carolina,37077,2
Graham,North Carolina,37075,0
Gates,North Carolina,37073,1
Gaston,North Carolina,37071,3
Franklin,North Carolina,37069,0
Forsyth,North Carolina,37067,21
Edgecombe,North Carolina,37065,0
Durham,North Carolina,37063,8
Duplin,North Carolina,37061,0
Davie,North Carolina,37059,0
Davidson,North Carolina,37057,0
Dare,North Carolina,37055,4
Currituck,North Carolina,37053,3
Cumberland,North Carolina,37051,13
Craven,North Carolina,37049,5
Columbus,North Carolina,37047,0
Cleveland,North Carolina,37045,1
Clay,North Carolina,37043,0
Chowan,North Carolina,37041,0
Cherokee,North Carolina,37039,0
Chatham,North Carolina,37037,1
Catawba,North Carolina,37035,7
Caswell,North Carolina,37033,0
Carteret,North Carolina,37031,5
Camden,North Carolina,37029,0
Caldwell,North Carolina,37027,0
Cabarrus,North Carolina,37025,4
Burke,North Carolina,37023,0
Buncombe,North Carolina,37021,26
Brunswick,North Carolina,37019,1
Bladen,North Carolina,37017,1
Bertie,North Carolina,37015,0
Beaufort,North Carolina,37013,5
Avery,North Carolina,37011,0
Ashe,North Carolina,37009,39
Anson,North Carolina,37007,0
Alleghany,North Carolina,37005,12
Alexander,North Carolina,37003,2
Alamance,North Carolina,37001,4
Yates,New York,36123,14
Wyoming,New York,36121,11
Westchester,New York,36119,79
Wayne,New York,36117,48
Washington,New York,36115,47
Warren,New York,36113,53
Ulster,New York,36111,139
Tompkins,New York,36109,55
Tioga,New York,36107,30
Sullivan,New York,36105,26
Suffolk,New York,36103,151
Steuben,New York,36101,23
Seneca,New York,36099,27
Schuyler,New York,36097,39
Schoharie,New York,36095,78
Schenectady,New York,36093,22
Saratoga,New York,36091,126
St. Lawrence,New York,36089,88
Rockland,New York,36087,48
Richmond,New York,36085,53
Rensselaer,New York,36083,170
Queens,New York,36081,111
Putnam,New York,36079,121
Otsego,New York,36077,90
Oswego,New York,36075,40
Orleans,New York,36073,6
Orange,New York,36071,115
Ontario,New York,36069,37
Onondaga,New York,36067,38
Oneida,New York,36065,29
Niagara,New York,36063,3
New York,New York,36061,286
New York,New York,36061,0
Nassau,New York,36059,29
Montgomery,New York,36057,57
Monroe,New York,36055,37
Madison,New York,36053,82
Livingston,New York,36051,43
Lewis,New York,36049,43
Kings,New York,36047,281
Jefferson,New York,36045,31
Herkimer,New York,36043,46
Hamilton,New York,36041,2
Greene,New York,36039,83
Genesee,New York,36037,14
Fulton,New York,36035,78
Franklin,New York,36033,68
Essex,New York,36031,36
Erie,New York,36029,31
Dutchess,New York,36027,275
Delaware,New York,36025,50
Cortland,New York,36023,92
Columbia,New York,36021,188
Clinton,New York,36019,61
Chenango,New York,36017,29
Chemung,New York,36015,8
Chautauqua,New York,36013,31
Cayuga,New York,36011,36
Cattaraugus,New York,36009,51
Broome,New York,36007,76
Bronx,New York,36005,25
Allegany,New York,36003,14
Albany,New York,36001,143
Valencia,New Mexico,35061,0
Union,New Mexico,35059,0
Torrance,New Mexico,35057,0
Taos,New Mexico,35055,0
Socorro,New Mexico,35053,0
Sierra,New Mexico,35051,0
Santa Fe,New Mexico,35049,2
San Miguel,New Mexico,35047,0
San Juan,New Mexico,35045,0
Sandoval,New Mexico,35043,0
Roosevelt,New Mexico,35041,0
Rio Arriba,New Mexico,35039,0
Quay,New Mexico,35037,0
Otero,New Mexico,35035,0
Mora,New Mexico,35033,0
McKinley,New Mexico,35031,0
Luna,New Mexico,35029,0
Los Alamos,New Mexico,35028,0
Lincoln,New Mexico,35027,0
Lea,New Mexico,35025,0
Hidalgo,New Mexico,35023,0
Harding,New Mexico,35021,0
Guadalupe,New Mexico,35019,0
Grant,New Mexico,35017,0
Eddy,New Mexico,35015,0
Doña Ana,New Mexico,35013,0
De Baca,New Mexico,35011,0
Curry,New Mexico,35009,0
Colfax,New Mexico,35007,0
Cibola,New Mexico,35006,0
Chaves,New Mexico,35005,0
Catron,New Mexico,35003,0
Bernalillo,New Mexico,35001,5
Warren,New Jersey,34041,242
Union,New Jersey,34039,62
Sussex,New Jersey,34037,251
Somerset,New Jersey,34035,200
Salem,New Jersey,34033,46
Passaic,New Jersey,34031,132
Ocean,New Jersey,34029,225
Morris,New Jersey,34027,425
Monmouth,New Jersey,34025,368
Middlesex,New Jersey,34023,171
Mercer,New Jersey,34021,186
Hunterdon,New Jersey,34019,339
Hudson,New Jersey,34017,24
Gloucester,New Jersey,34015,140
Essex,New Jersey,34013,113
Cumberland,New Jersey,34011,63
Cape May,New Jersey,34009,26
Camden,New Jersey,34007,80
Burlington,New Jersey,34005,234
Bergen,New Jersey,34003,196
Atlantic,New Jersey,34001,94
Sullivan,New Hampshire,33019,74
Strafford,New Hampshire,33017,159
Rockingham,New Hampshire,33015,415
Merrimack,New Hampshire,33013,250
Hillsborough,New Hampshire,33011,419
Grafton,New Hampshire,33009,119
Coos,New Hampshire,33007,10
Cheshire,New Hampshire,33005,75
Carroll,New Hampshire,33003,96
Belknap,New Hampshire,33001,72
Carson City,Nevada,32510,1
White Pine,Nevada,32033,0
Washoe,Nevada,32031,1
Storey,Nevada,32029,0
Pershing,Nevada,32027,0
Nye,Nevada,32023,1
Mineral,Nevada,32021,0
Lyon,Nevada,32019,0
Lincoln,Nevada,32017,0
Lander,Nevada,32015,0
Humboldt,Nevada,32013,0
Eureka,Nevada,32011,0
Esmeralda,Nevada,32009,0
Elko,Nevada,32007,0
Douglas,Nevada,32005,0
Clark,Nevada,32003,11
Churchill,Nevada,32001,2
York,Nebraska,31185,0
Wheeler,Nebraska,31183,0
Webster,Nebraska,31181,0
Wayne,Nebraska,31179,0
Washington,Nebraska,31177,0
Valley,Nebraska,31175,0
Thurston,Nebraska,31173,0
Thomas,Nebraska,31171,0
Thayer,Nebraska,31169,0
Stanton,Nebraska,31167,0
Sioux,Nebraska,31165,0
Sherman,Nebraska,31163,0
Sheridan,Nebraska,31161,0
Seward,Nebraska,31159,0
Scotts Bluff,Nebraska,31157,0
Saunders,Nebraska,31155,0
Sarpy,Nebraska,31153,1
Saline,Nebraska,31151,0
Rock,Nebraska,31149,0
Richardson,Nebraska,31147,0
Red Willow,Nebraska,31145,0
Polk,Nebraska,31143,0
Platte,Nebraska,31141,0
Pierce,Nebraska,31139,0
Phelps,Nebraska,31137,0
Perkins,Nebraska,31135,0
Pawnee,Nebraska,31133,0
Otoe,Nebraska,31131,0
Nuckolls,Nebraska,31129,0
Nemaha,Nebraska,31127,0
Nance,Nebraska,31125,0
Morrill,Nebraska,31123,0
Merrick,Nebraska,31121,0
Madison,Nebraska,31119,0
McPherson,Nebraska,31117,0
Loup,Nebraska,31115,0
Logan,Nebraska,31113,0
Lincoln,Nebraska,31111,0
Lancaster,Nebraska,31109,0
Knox,Nebraska,31107,0
Kimball,Nebraska,31105,0
Keya Paha,Nebraska,31103,0
Keith,Nebraska,31101,0
Kearney,Nebraska,31099,0
Johnson,Nebraska,31097,0
Jefferson,Nebraska,31095,0
Howard,Nebraska,31093,0
Hooker,Nebraska,31091,0
Holt,Nebraska,31089,0
Hitchcock,Nebraska,31087,0
Hayes,Nebraska,31085,0
Harlan,Nebraska,31083,0
Hamilton,Nebraska,31081,0
Hall,Nebraska,31079,1
Greeley,Nebraska,31077,0
Grant,Nebraska,31075,0
Gosper,Nebraska,31073,0
Garfield,Nebraska,31071,0
Garden,Nebraska,31069,0
Gage,Nebraska,31067,0
Furnas,Nebraska,31065,0
Frontier,Nebraska,31063,0
Franklin,Nebraska,31061,0
Fillmore,Nebraska,31059,0
Dundy,Nebraska,31057,0
Douglas,Nebraska,31055,7
Dodge,Nebraska,31053,0
Dixon,Nebraska,31051,0
Deuel,Nebraska,31049,0
Dawson,Nebraska,31047,0
Dawes,Nebraska,31045,0
Dakota,Nebraska,31043,0
Custer,Nebraska,31041,0
Cuming,Nebraska,31039,0
Colfax,Nebraska,31037,0
Clay,Nebraska,31035,0
Cheyenne,Nebraska,31033,0
Cherry,Nebraska,31031,0
Chase,Nebraska,31029,0
Cedar,Nebraska,31027,0
Cass,Nebraska,31025,1
Butler,Nebraska,31023,0
Burt,Nebraska,31021,0
Buffalo,Nebraska,31019,0
Brown,Nebraska,31017,0
Boyd,Nebraska,31015,0
Box Butte,Nebraska,31013,0
Boone,Nebraska,31011,0
Blaine,Nebraska,31009,0
Banner,Nebraska,31007,0
Arthur,Nebraska,31005,0
Antelope,Nebraska,31003,0
Adams,Nebraska,31001,0
Yellowstone,Montana,30111,0
Wibaux,Montana,30109,0
Wheatland,Montana,30107,0
Valley,Montana,30105,0
Treasure,Montana,30103,0
Toole,Montana,30101,0
Teton,Montana,30099,0
Sweet Grass,Montana,30097,0
Stillwater,Montana,30095,0
Silver Bow,Montana,30093,0
Sheridan,Montana,30091,0
Sanders,Montana,30089,0
Rosebud,Montana,30087,0
Roosevelt,Montana,30085,0
Richland,Montana,30083,0
Ravalli,Montana,30081,0
Prairie,Montana,30079,0
Powell,Montana,30077,0
Powder River,Montana,30075,0
Pondera,Montana,30073,0
Phillips,Montana,30071,0
Petroleum,Montana,30069,0
Park,Montana,30067,0
Musselshell,Montana,30065,0
Missoula,Montana,30063,1
Mineral,Montana,30061,0
Meagher,Montana,30059,0
Madison,Montana,30057,0
McCone,Montana,30055,0
Lincoln,Montana,30053,0
Liberty,Montana,30051,0
Lewis and Clark,Montana,30049,0
Lake,Montana,30047,2
Judith Basin,Montana,30045,0
Jefferson,Montana,30043,1
Hill,Montana,30041,0
Granite,Montana,30039,0
Golden Valley,Montana,30037,0
Glacier,Montana,30035,0
Garfield,Montana,30033,0
Gallatin,Montana,30031,0
Flathead,Montana,30029,0
Fergus,Montana,30027,0
Fallon,Montana,30025,0
Deer Lodge,Montana,30023,0
Dawson,Montana,30021,0
Daniels,Montana,30019,0
Custer,Montana,30017,0
Chouteau,Montana,30015,0
Cascade,Montana,30013,0
Carter,Montana,30011,0
Carbon,Montana,30009,0
Broadwater,Montana,30007,0
Blaine,Montana,30005,0
Big Horn,Montana,30003,0
Beaverhead,Montana,30001,0
St. Louis city,Missouri,29510,1
Wright,Missouri,29229,0
Worth,Missouri,29227,0
Webster,Missouri,29225,0
Wayne,Missouri,29223,0
Washington,Missouri,29221,0
Warren,Missouri,29219,0
Vernon,Missouri,29217,0
Texas,Missouri,29215,0
Taney,Missouri,29213,0
Sullivan,Missouri,29211,0
Stone,Missouri,29209,0
Stoddard,Missouri,29207,0
Shelby,Missouri,29205,0
Shannon,Missouri,29203,0
Scott,Missouri,29201,0
Scotland,Missouri,29199,0
Schuyler,Missouri,29197,0
Saline,Missouri,29195,0
St. Louis,Missouri,29189,4
St. Francois,Missouri,29187,2
Ste. Genevieve,Missouri,29186,1
St. Clair,Missouri,29185,0
St. Charles,Missouri,29183,0
Ripley,Missouri,29181,0
Reynolds,Missouri,29179,0
Ray,Missouri,29177,0
Randolph,Missouri,29175,1
Ralls,Missouri,29173,0
Putnam,Missouri,29171,0
Pulaski,Missouri,29169,0
Polk,Missouri,29167,0
Platte,Missouri,29165,0
Pike,Missouri,29163,0
Phelps,Missouri,29161,0
Pettis,Missouri,29159,0
Perry,Missouri,29157,0
Pemiscot,Missouri,29155,0
Ozark,Missouri,29153,0
Osage,Missouri,29151,0
Oregon,Missouri,29149,0
Nodaway,Missouri,29147,0
Newton,Missouri,29145,0
New Madrid,Missouri,29143,0
Morgan,Missouri,29141,0
Montgomery,Missouri,29139,0
Monroe,Missouri,29137,0
Moniteau,Missouri,29135,0
Mississippi,Missouri,29133,0
Miller,Missouri,29131,0
Mercer,Missouri,29129,0
Marion,Missouri,29127,0
Maries,Missouri,29125,0
Madison,Missouri,29123,0
Macon,Missouri,29121,0
McDonald,Missouri,29119,0
Livingston,Missouri,29117,0
Linn,Missouri,29115,0
Lincoln,Missouri,29113,0
Lewis,Missouri,29111,0
Lawrence,Missouri,29109,1
Lafayette,Missouri,29107,0
Laclede,Missouri,29105,0
Knox,Missouri,29103,0
Johnson,Missouri,29101,0
Jefferson,Missouri,29099,0
Jasper,Missouri,29097,0
Jackson,Missouri,29095,5
Iron,Missouri,29093,0
Howell,Missouri,29091,0
Howard,Missouri,29089,0
Holt,Missouri,29087,0
Hickory,Missouri,29085,0
Henry,Missouri,29083,0
Harrison,Missouri,29081,0
Grundy,Missouri,29079,0
Greene,Missouri,29077,0
Gentry,Missouri,29075,0
Gasconade,Missouri,29073,0
Franklin,Missouri,29071,1
Dunklin,Missouri,29069,0
Douglas,Missouri,29067,0
Dent,Missouri,29065,0
DeKalb,Missouri,29063,0
Daviess,Missouri,29061,0
Dallas,Missouri,29059,0
Dade,Missouri,29057,0
Crawford,Missouri,29055,0
Cooper,Missouri,29053,0
Cole,Missouri,29051,0
Clinton,Missouri,29049,0
Clay,Missouri,29047,0
Clark,Missouri,29045,0
Christian,Missouri,29043,0
Chariton,Missouri,29041,0
Cedar,Missouri,29039,0
Cass,Missouri,29037,0
Carter,Missouri,29035,0
Carroll,Missouri,29033,0
Cape Girardeau,Missouri,29031,0
Camden,Missouri,29029,0
Callaway,Missouri,29027,0
Caldwell,Missouri,29025,0
Butler,Missouri,29023,0
Buchanan,Missouri,29021,0
Boone,Missouri,29019,0
Bollinger,Missouri,29017,0
Benton,Missouri,29015,0
Bates,Missouri,29013,0
Barton,Missouri,29011,0
Barry,Missouri,29009,0
Audrain,Missouri,29007,0
Atchison,Missouri,29005,0
Andrew,Missouri,29003,0
Adair,Missouri,29001,1
Yazoo,Mississippi,28163,0
Yalobusha,Mississippi,28161,0
Winston,Mississippi,28159,0
Wilkinson,Mississippi,28157,0
Webster,Mississippi,28155,0
Wayne,Mississippi,28153,0
Washington,Mississippi,28151,0
Warren,Mississippi,28149,0
Walthall,Mississippi,28147,0
Union,Mississippi,28145,0
Tunica,Mississippi,28143,0
Tishomingo,Mississippi,28141,0
Tippah,Mississippi,28139,0
Tate,Mississippi,28137,0
Tallahatchie,Mississippi,28135,0
Sunflower,Mississippi,28133,0
Stone,Mississippi,28131,0
Smith,Mississippi,28129,0
Simpson,Mississippi,28127,0
Sharkey,Mississippi,28125,0
Scott,Mississippi,28123,0
Rankin,Mississippi,28121,0
Quitman,Mississippi,28119,0
Prentiss,Mississippi,28117,0
Pontotoc,Mississippi,28115,0
Pike,Mississippi,28113,0
Perry,Mississippi,28111,0
Pearl River,Mississippi,28109,1
Panola,Mississippi,28107,0
Oktibbeha,Mississippi,28105,0
Noxubee,Mississippi,28103,0
Newton,Mississippi,28101,0
Neshoba,Mississippi,28099,0
Montgomery,Mississippi,28097,0
Monroe,Mississippi,28095,0
Marshall,Mississippi,28093,0
Marion,Mississippi,28091,0
Madison,Mississippi,28089,1
Lowndes,Mississippi,28087,0
Lincoln,Mississippi,28085,0
Leflore,Mississippi,28083,0
Lee,Mississippi,28081,0
Leake,Mississippi,28079,0
Lawrence,Mississippi,28077,0
Lauderdale,Mississippi,28075,0
Lamar,Mississippi,28073,0
Lafayette,Mississippi,28071,0
Kemper,Mississippi,28069,1
Jones,Mississippi,28067,0
Jefferson Davis,Mississippi,28065,0
Jefferson,Mississippi,28063,0
Jasper,Mississippi,28061,0
Jackson,Mississippi,28059,0
Itawamba,Mississippi,28057,0
Issaquena,Mississippi,28055,0
Humphreys,Mississippi,28053,0
Holmes,Mississippi,28051,0
Hinds,Mississippi,28049,0
Harrison,Mississippi,28047,1
Hancock,Mississippi,28045,0
Grenada,Mississippi,28043,0
Greene,Mississippi,28041,0
George,Mississippi,28039,0
Franklin,Mississippi,28037,0
Forrest,Mississippi,28035,0
DeSoto,Mississippi,28033,0
Covington,Mississippi,28031,0
Copiah,Mississippi,28029,0
Coahoma,Mississippi,28027,0
Clay,Mississippi,28025,0
Clarke,Mississippi,28023,0
Claiborne,Mississippi,28021,0
Choctaw,Mississippi,28019,0
Chickasaw,Mississippi,28017,0
Carroll,Mississippi,28015,0
Calhoun,Mississippi,28013,0
Bolivar,Mississippi,28011,0
Benton,Mississippi,28009,0
Attala,Mississippi,28007,0
Amite,Mississippi,28005,0
Alcorn,Mississippi,28003,0
Adams,Mississippi,28001,0
Yellow Medicine,Minnesota,27173,0
Wright,Minnesota,27171,27
Winona,Minnesota,27169,20
Wilkin,Minnesota,27167,0
Watonwan,Minnesota,27165,1
Washington,Minnesota,27163,78
Waseca,Minnesota,27161,0
Wadena,Minnesota,27159,9
Wabasha,Minnesota,27157,9
Traverse,Minnesota,27155,0
Todd,Minnesota,27153,8
Swift,Minnesota,27151,2
